experiment,strategy,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,astropy__astropy-7166,0.0133,0.0,False,0,10,0,24,4474,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,astropy__astropy-7336,0.0093,0.0,False,0,8,0,21,2893,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,astropy__astropy-7671,0.1203,0.0,False,0,52,0,20,7140,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,astropy__astropy-8707,1.9345,0.0,False,0,194,0,72,29644,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-10914,0.0108,0.0,False,0,7,0,13,3493,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-10973,0.0096,0.0,False,0,9,0,58,2012,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11066,0.1294,0.0,False,0,12,0,13,37326,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11095,0.1519,0.0,False,0,45,0,39,7764,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11119,0.1503,0.0,False,0,29,0,66,16477,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11141,0.2453,0.0,False,0,29,0,78,27072,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11163,0.1632,0.0,False,0,44,0,37,9801,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11179,0.03,0.0,False,0,4,0,18,22636,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11265,1.3928,0.0,False,0,251,0,43,17278,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11276,0.1451,0.0,False,0,22,0,113,31652,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11299,0.0968,0.0,False,0,28,0,26,7225,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11451,0.0076,0.0,False,0,5,0,17,3321,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11551,0.1118,0.0,False,0,13,0,216,30390,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11603,0.012,0.0,False,0,10,0,16,4377,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11815,0.0148,0.0,False,0,10,0,22,2636,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11880,0.1696,0.0,False,0,19,0,23,27141,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11951,0.078,0.0,False,0,10,0,22,29646,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11964,0.0573,0.0,False,0,36,0,32,4197,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-11999,0.4438,0.0,False,0,112,0,20,9952,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12039,0.0246,0.0,False,0,11,0,78,3606,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12050,0.0088,0.0,False,0,7,0,11,2586,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12143,0.0105,0.0,False,0,8,0,24,3068,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12155,0.0049,0.0,False,0,4,0,20,2235,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12193,0.0102,0.0,False,0,6,0,16,2708,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12209,0.0153,0.0,False,0,10,0,18,3596,1
