experiment,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14053,2.4869,0.0945,True,10,250,15,363,24690,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-26466,0.4901,0.0135,True,2,56,12,203,22941,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9230,2.2341,0.108,True,13,247,2,362,22225,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-6028,0.3929,0.0103,True,1,34,46,594,29747,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13344,0.9471,0.0186,True,2,70,11,479,35282,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-18763,2.2296,0.0606,True,7,172,3,274,33657,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-24627,0.61,0.0092,True,1,45,14,246,38367,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-20428,0.6644,0.0139,True,1,39,13,275,50906,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16950,2.6288,0.0733,True,7,183,12,709,35185,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-20859,0.0189,0.0,False,0,7,118,177,7518,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12276,0.0872,0.0,False,0,15,140,313,16766,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13590,0.9657,0.0294,True,4,117,4,316,21796,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-22865,0.3977,0.0,False,0,25,7,171,44377,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11099,0.1571,0.0,False,0,30,29,127,15780,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-25973,0.1803,0.0,False,0,28,38,205,16381,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pylint-dev__pylint-8898,2.7048,0.1073,True,10,248,2,368,27981,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-7229,1.9821,0.0975,True,12,250,1,301,19985,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7889,0.8742,0.0214,True,3,87,10,177,26382,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-6721,1.382,0.0348,True,3,78,5,460,45588,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12858,0.4804,0.0132,True,2,65,12,191,19992,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13512,0.7743,0.0245,True,3,76,12,222,27213,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15561,3.4643,0.1085,True,8,195,1,442,47287,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-23413,2.9099,0.1213,True,10,250,26,577,27963,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7454,2.6435,0.1054,True,9,221,28,335,30314,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-20488,1.9771,0.0515,True,5,127,1,294,41428,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12965,2.6453,0.107,True,10,250,4,380,26945,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13513,0.926,0.0235,True,3,87,17,422,26120,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-13328,0.075,0.0,False,0,11,164,315,18233,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13012,0.4187,0.0101,True,1,38,43,265,30373,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9258,3.097,0.065,True,6,161,3,864,46943,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7910,1.0564,0.0277,True,3,77,22,299,35620,1
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-1921,2.9767,0.1215,True,10,249,3,377,30087,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11138,0.9635,0.0261,True,3,89,19,361,27888,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16631,0.7991,0.029,True,4,102,11,255,20658,0
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-8595,3.1605,0.1097,True,10,249,5,266,32882,1
