experiment,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome,strategy,scaffold
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14053,2.4869,0.0945,True,10,250,15,363,24690,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-26466,0.4901,0.0135,True,2,56,12,203,22941,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9230,2.2341,0.108,True,13,247,2,362,22225,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-6028,0.3929,0.0103,True,1,34,46,594,29747,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13344,0.9471,0.0186,True,2,70,11,479,35282,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-18763,2.2296,0.0606,True,7,172,3,274,33657,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-24627,0.61,0.0092,True,1,45,14,246,38367,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-20428,0.6644,0.0139,True,1,39,13,275,50906,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16950,2.6288,0.0733,True,7,183,12,709,35185,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-20859,0.0189,0.0,False,0,7,118,177,7518,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12276,0.0872,0.0,False,0,15,140,313,16766,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13590,0.9657,0.0294,True,4,117,4,316,21796,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-22865,0.3977,0.0,False,0,25,7,171,44377,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11099,0.1571,0.0,False,0,30,29,127,15780,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-25973,0.1803,0.0,False,0,28,38,205,16381,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pylint-dev__pylint-8898,2.7048,0.1073,True,10,248,2,368,27981,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-7229,1.9821,0.0975,True,12,250,1,301,19985,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7889,0.8742,0.0214,True,3,87,10,177,26382,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-6721,1.382,0.0348,True,3,78,5,460,45588,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12858,0.4804,0.0132,True,2,65,12,191,19992,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13512,0.7743,0.0245,True,3,76,12,222,27213,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15561,3.4643,0.1085,True,8,195,1,442,47287,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-23413,2.9099,0.1213,True,10,250,26,577,27963,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7454,2.6435,0.1054,True,9,221,28,335,30314,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-20488,1.9771,0.0515,True,5,127,1,294,41428,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-12965,2.6453,0.107,True,10,250,4,380,26945,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13513,0.926,0.0235,True,3,87,17,422,26120,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-13328,0.075,0.0,False,0,11,164,315,18233,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13012,0.4187,0.0101,True,1,38,43,265,30373,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9258,3.097,0.065,True,6,161,3,864,46943,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7910,1.0564,0.0277,True,3,77,22,299,35620,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-1921,2.9767,0.1215,True,10,249,3,377,30087,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11138,0.9635,0.0261,True,3,89,19,361,27888,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16631,0.7991,0.029,True,4,102,11,255,20658,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-8595,3.1605,0.1097,True,10,249,5,266,32882,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-15017,0.2884,0.0068,True,1,34,29,209,22404,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-10614,3.2367,0.1139,True,10,248,31,379,33208,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-24213,0.0485,0.0,False,0,11,43,195,11502,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14855,1.629,0.0718,True,7,178,2,340,23612,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-10844,0.1045,0.0,False,0,15,47,194,19831,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-14087,3.552,0.1139,True,10,247,3,531,35691,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-22719,0.1079,0.0,False,0,15,96,306,18778,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-24149,1.0568,0.0218,True,3,92,8,342,29191,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16662,0.0535,0.0,False,0,9,98,295,17349,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-13779,0.0942,0.0,False,0,9,140,320,29019,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-12489,0.0932,0.0,False,0,18,119,208,15518,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pylint-dev__pylint-6528,2.0829,0.0809,True,8,193,3,331,28394,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13551,0.3578,0.0055,True,1,47,26,157,20570,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-4629,0.0504,0.0,False,0,12,56,152,10600,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-17655,0.3835,0.0074,True,1,34,64,314,29167,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13406,2.9158,0.1098,True,10,250,6,340,30824,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13297,1.2528,0.0674,True,11,217,0,281,14144,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-1724,0.2525,0.0,False,0,27,40,202,24362,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pytest-dev__pytest-10356,2.2804,0.0695,True,8,192,4,377,29877,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-2317,1.3601,0.0372,True,5,147,70,259,24972,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-12973,0.5925,0.0166,True,2,66,38,330,22478,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11885,1.3394,0.0523,True,5,138,4,367,25630,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-24177,0.3928,0.0,False,0,25,42,298,42372,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-15345,2.1665,0.0747,True,10,249,2,286,21809,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14238,2.723,0.1056,True,10,250,4,313,27798,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-3095,0.7196,0.0197,True,2,61,9,348,30285,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15380,2.9091,0.0863,True,10,247,3,300,30028,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15103,0.1988,0.0,False,0,26,21,117,21997,1,LLM-Summary,openhands
